read_num_transformed,per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,playmode1,playmode2
2527.0,2300,4,78,1,0,0,0,0,0,0,15,0,1.0
2187.0,1600,7,23,0,1,0,0,0,0,1,17,0,1.0
1975.0,3600,7,45,0,0,0,0,1,0,0,10,1,1.0
2175.0,2500,7,35,1,0,0,0,0,0,0,15,0,1.0
5850.0,1000,5,66,0,0,1,0,0,0,0,18,1,1.0
15000.0,4000,6,75,0,1,0,0,0,0,0,9,1,0.0
6788.0,3700,5,93,1,0,0,0,0,0,0,8,1,0.0
3540.0,4500,9,162,0,0,0,0,1,0,0,20,1,0.0
3700.0,1000,4,147,1,0,0,0,0,0,0,5,0,1.0
4520.0,4000,9,220,0,0,0,1,0,0,0,4,0,1.0
6431.0,7000,8,183,0,0,0,0,1,0,0,14,0,1.0
5299.0,2500,6,78,0,0,0,0,0,1,0,12,0,1.0
23000.0,1600,8,49,0,0,0,1,0,0,0,19,1,1.0
4980.0,3000,6,188,0,0,0,1,0,0,1,11,0,1.0
8302.0,2000,9,196,1,0,0,0,0,0,1,18,0,1.0
28000.0,2200,7,123,1,0,0,0,0,0,0,14,1,1.0
2057.0,3000,7,64,1,0,0,0,0,0,1,18,1,1.0
59000.0,2700,7,45,0,0,0,1,0,0,1,18,0,1.0
2637.0,850,1,73,0,0,0,0,0,1,0,13,0,1.0
3556.0,2000,5,173,0,0,1,0,0,0,0,20,1,0.0
2455.0,2000,4,62,1,0,0,0,0,0,0,12,0,1.0
2191.0,700,2,5,0,0,1,0,0,0,1,5,0,1.0
2442.0,1000,3,46,0,0,0,0,1,0,1,13,0,1.0
1575.0,3000,5,10,0,0,1,0,0,0,1,9,0,1.0
891.0,700,1,32,1,0,0,0,0,0,0,20,0,1.0
3700.0,1600,9,71,1,0,0,0,0,0,1,15,0,1.0
13000.0,1600,3,68,0,1,0,0,0,0,0,8,1,1.0
6444.0,800,5,15,1,0,0,0,0,0,0,11,0,1.0
2315.0,1500,2,33,0,0,0,1,0,0,0,4,0,1.0
1381.0,2800,1,11,0,0,0,1,0,0,0,15,1,0.0
2645.0,1400,3,18,0,0,0,0,1,0,0,16,0,1.0
3161.0,1000,3,28,0,0,1,0,0,0,0,12,0,1.0
3338.0,3500,7,38,1,0,0,0,0,0,1,17,0,1.0
1966.0,2200,4,85,1,0,0,0,0,0,0,9,0,1.0
1543.0,3500,6,76,0,0,1,0,0,0,1,36,0,1.0
4631.0,500,3,34,0,0,1,0,0,0,0,14,0,1.0
