per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
1500,4,41,0,0,0,1,0,0,0,3,0.0,0,1.0
1000,2,55,0,0,0,1,0,0,1,12,1.0,1,1.0
1500,4,148,0,1,0,0,0,0,1,10,0.0,0,1.0
2500,4,75,0,0,0,1,0,0,0,5,0.0,0,1.0
1500,3,106,1,0,0,0,0,0,0,24,0.0,1,1.0
180,2,190,1,0,0,0,0,0,0,15,0.0,1,1.0
300,5,143,1,0,0,0,0,0,0,17,0.0,1,1.0
3000,6,50,0,0,0,1,0,0,1,9,0.0,1,1.0
3000,5,91,0,0,0,1,0,0,0,15,0.0,0,1.0
1700,5,43,0,0,0,0,1,0,0,13,0.0,1,1.0
1200,4,53,0,0,0,1,0,0,0,12,0.0,1,1.0
2200,4,100,1,0,0,0,0,0,0,8,0.0,1,1.0
1000,3,132,1,0,0,0,0,0,1,24,0.0,1,0.0
1000,7,55,1,0,0,0,0,0,0,24,0.0,0,1.0
1400,4,69,0,0,0,0,1,0,1,15,0.0,1,1.0
5000,6,68,0,0,0,1,0,0,1,14,0.0,1,1.0
5000,5,60,1,0,0,0,0,0,1,8,0.0,1,1.0
1400,4,46,0,0,0,1,0,0,0,17,0.0,0,1.0
1709,5,117,0,0,0,0,1,0,0,7,0.0,1,0.0
3000,6,134,0,0,0,1,0,0,1,9,0.0,1,1.0
3000,5,923,0,0,0,0,0,1,0,29,0.0,0,1.0
800,6,71,0,0,0,0,1,0,0,19,0.0,0,1.0
280,1,49,0,0,1,0,0,0,0,24,0.0,0,1.0
1000,3,21,0,0,0,1,0,0,1,5,0.0,0,1.0
500,3,41,0,0,0,1,0,0,0,28,0.0,1,1.0
2600,6,129,0,0,0,1,0,0,1,9,0.0,1,1.0
1500,5,75,0,0,0,0,1,0,1,18,0.0,1,1.0
2800,5,76,0,0,0,0,0,0,1,9,0.0,1,1.0
4000,3,99,0,0,0,0,1,0,0,4,1.0,0,1.0
170,1,34,1,0,0,0,0,0,1,13,0.0,0,1.0
750,4,108,1,0,0,0,0,0,0,13,0.0,1,1.0
1500,5,62,1,0,0,0,0,0,1,11,0.0,1,1.0
2300,6,71,0,0,1,0,0,0,1,4,0.0,0,1.0
3500,5,64,0,0,0,0,0,1,0,10,0.0,0,1.0
1300,6,51,0,0,0,0,0,1,0,5,0.0,1,0.0
2000,5,58,0,1,0,0,0,0,0,5,0.0,0,1.0
1000,5,88,0,0,0,0,0,1,1,19,0.0,0,1.0
2000,4,192,0,1,0,0,0,0,0,36,1.0,0,1.0
2300,5,242,0,0,0,0,0,1,0,14,0.0,1,0.0
1800,5,94,0,0,1,0,0,0,0,18,0.0,1,1.0
2000,5,14,0,0,0,0,0,1,1,5,0.0,0,1.0
1600,4,127,0,0,0,0,1,0,1,11,0.0,1,0.0
2200,6,73,0,0,0,1,0,0,1,14,0.0,1,1.0
1500,3,82,0,0,0,0,1,0,1,19,0.0,1,1.0
900,4,28,0,0,1,0,0,0,0,26,0.0,0,1.0
1200,4,123,1,0,0,0,0,0,0,19,0.0,1,0.0
2800,1,46,0,0,0,0,1,0,0,9,0.0,1,1.0
1500,5,137,0,0,0,0,1,0,0,18,0.0,0,1.0
1200,2,53,0,0,0,0,1,0,0,9,0.0,0,1.0
500,2,20,0,0,1,0,0,0,0,31,1.0,0,1.0
800,1,101,1,0,0,0,0,0,0,19,0.0,1,1.0
1300,5,134,0,0,0,0,0,1,0,7,0.0,0,1.0
2800,5,238,0,0,0,1,0,0,0,36,1.0,1,1.0
3500,3,118,0,0,1,0,0,0,1,4,0.0,1,1.0
4000,1,84,1,0,0,0,0,0,1,29,0.0,0,1.0
1500,3,47,0,0,0,0,0,1,0,19,0.0,1,1.0
2300,4,119,1,0,0,0,0,0,0,9,0.0,0,1.0
1200,3,48,1,0,0,0,0,0,0,12,0.0,1,1.0
1500,5,53,1,0,0,0,0,0,1,8,1.0,1,1.0
3500,5,61,0,0,0,0,0,1,0,17,0.0,1,1.0
280,1,44,0,0,1,0,0,0,0,26,0.0,0,1.0
2000,3,44,0,0,0,0,1,0,1,13,0.0,1,1.0
1500,3,76,0,0,1,0,0,0,0,9,0.0,0,1.0
2000,4,79,1,0,0,0,0,0,0,14,0.0,1,1.0
2800,4,93,0,0,0,1,0,0,1,14,1.0,0,1.0
2500,4,175,0,0,1,0,0,0,1,14,0.0,1,1.0
1000,3,9,0,0,1,0,0,0,0,7,0.0,0,1.0
1000,5,138,0,0,0,0,0,1,0,3,0.0,0,1.0
2000,4,60,0,0,0,0,1,0,1,18,0.0,0,1.0
1100,4,43,0,0,0,0,0,1,0,9,0.0,1,1.0
3000,4,54,1,0,0,0,0,0,0,17,0.0,1,1.0
3000,4,23,0,0,0,1,0,0,1,5,0.0,0,1.0
3800,8,58,0,0,0,0,0,1,1,10,0.0,1,1.0
5000,8,42,0,0,1,0,0,0,0,7,0.0,0,1.0
2000,4,78,1,0,0,0,0,0,0,16,0.0,1,1.0
800,3,81,1,0,0,0,0,0,0,19,0.0,0,1.0
800,3,33,1,0,0,0,0,0,1,12,0.0,0,1.0
1500,4,86,1,0,0,0,0,0,0,5,0.0,1,1.0
4200,6,60,0,0,0,1,0,0,0,8,0.0,1,1.0
2500,5,126,1,0,0,0,0,0,1,18,0.0,1,1.0
1000,3,34,0,0,0,1,0,0,1,10,0.0,0,1.0
3000,5,88,0,1,0,0,0,0,0,6,0.0,0,1.0
3000,4,146,0,0,0,0,1,0,1,8,0.0,1,1.0
3000,3,114,0,0,0,1,0,0,0,13,0.0,0,1.0
1000,5,9,1,0,0,0,0,0,0,7,0.0,1,1.0
1200,4,12,1,0,0,0,0,0,0,14,0.0,1,1.0
1800,6,54,0,0,0,0,1,0,0,18,0.0,0,1.0
3000,7,27,1,0,0,0,0,0,1,7,0.0,0,1.0
2200,4,99,0,0,0,0,1,0,0,12,0.0,0,1.0
1500,6,89,0,0,0,0,0,1,0,16,0.0,1,1.0
1000,2,55,1,0,0,0,0,0,0,10,0.0,1,1.0
3000,7,127,0,0,0,0,0,1,1,3,0.0,1,1.0
1600,5,120,0,0,1,0,0,0,0,17,0.0,1,1.0
2000,4,177,0,0,0,0,0,1,0,10,0.0,1,1.0
2200,4,46,0,0,0,0,1,0,0,7,0.0,1,1.0
1300,1,12,0,0,0,0,0,1,0,18,0.0,1,0.0
1500,7,52,1,0,0,0,0,0,1,5,0.0,1,1.0
2000,3,54,0,0,0,1,0,0,0,7,0.0,0,1.0
1400,4,74,0,0,0,0,1,0,0,4,0.0,1,1.0
3000,1,79,0,0,0,1,0,0,0,20,0.0,0,1.0
1500,4,76,0,0,1,0,0,0,0,4,0.0,0,1.0
1000,5,159,0,0,0,1,0,0,1,13,0.0,1,0.0
